# tau1,tau2,tau3
1.260091863332505113e+01,3.388832853022802460e+00,8.757893331150892191e-01
1.259987709871715467e+01,3.389038260881738651e+00,8.759983383628821008e-01
1.259883561883313341e+01,3.389244345448091611e+00,8.762071606999050077e-01
1.259779419401550093e+01,3.389451106706637962e+00,8.764158000445875230e-01
1.259675282460653101e+01,3.389658544641537485e+00,8.766242563153596734e-01
1.259571151094874075e+01,3.389866659236546287e+00,8.768325294308368933e-01
1.259467025338454782e+01,3.390075450474787644e+00,8.770406193097251002e-01
1.259362905225636275e+01,3.390284918338884790e+00,8.772485258708284661e-01
1.259258790790693538e+01,3.390495062811078153e+00,8.774562490331434539e-01
1.259154682067868336e+01,3.390705883872919379e+00,8.776637887156832907e-01
1.259050579091433164e+01,3.390917381505584416e+00,8.778711448376455007e-01
1.258946481895651637e+01,3.391129555689663011e+00,8.780783173183002166e-01
1.258842390514809395e+01,3.391342406405312815e+00,8.782853060771051990e-01
1.258738304983166856e+01,3.391555933632044439e+00,8.784921110335239813e-01
1.258634225335023515e+01,3.391770137349028325e+00,8.786987321072387003e-01
1.258530151604661640e+01,3.391985017534823399e+00,8.789051692179865594e-01
1.258426083826368824e+01,3.392200574167455240e+00,8.791114222856095672e-01
1.258322022034456289e+01,3.392416807224552411e+00,8.793174912301382484e-01
1.258217966263214826e+01,3.392633716683151501e+00,8.795233759715956889e-01
1.258113916546968269e+01,3.392851302519840573e+00,8.797290764302436727e-01
1.258009872920023575e+01,3.393069564710621044e+00,8.799345925263835078e-01
1.257905835416694451e+01,3.393288503231051134e+00,8.801399241804005458e-01
1.257801804071329599e+01,3.393508118056241418e+00,8.803450713129153948e-01
1.257697778918233844e+01,3.393728409160638115e+00,8.805500338444764985e-01
1.257593759991774363e+01,3.393949376518393457e+00,8.807548116959477147e-01
1.257489747326270724e+01,3.394171020102956238e+00,8.809594047881013079e-01
1.257385740956088149e+01,3.394393339887402217e+00,8.811638130419883197e-01
1.257281740915581025e+01,3.394616335844282684e+00,8.813680363786713379e-01
1.257177747239107823e+01,3.394840007945612914e+00,8.815720747193351858e-01
1.257073759961042292e+01,3.395064356162967201e+00,8.817759279852948051e-01
1.256969779115764929e+01,3.395289380467397589e+00,8.819795960979813776e-01
1.256865804737648595e+01,3.395515080829401455e+00,8.821830789788818183e-01
1.256761836861089954e+01,3.395741457219069837e+00,8.823863765496501310e-01
1.256657875520486378e+01,3.395968509605968855e+00,8.825894887320128168e-01
1.256553920750233466e+01,3.396196237959133502e+00,8.827924154477898577e-01
1.256449972584755947e+01,3.396424642247165782e+00,8.829951566189817580e-01
1.256346031058452084e+01,3.396653722438078837e+00,8.831977121675688158e-01
1.256242096205766146e+01,3.396883478499525211e+00,8.834000820157696943e-01
1.256138168061115579e+01,3.397113910398537939e+00,8.836022660857992816e-01
1.256034246658951403e+01,3.397345018101748160e+00,8.838042643000666443e-01
1.255930332033710251e+01,3.397576801575238115e+00,8.840060765809887311e-01
1.255826424219860904e+01,3.397809260784657504e+00,8.842077028512010939e-01
1.255722523251846745e+01,3.398042395695061391e+00,8.844091430333100856e-01
1.255618629164153610e+01,3.398276206271140243e+00,8.846103970501423275e-01
1.255514741991260763e+01,3.398510692477093809e+00,8.848114648245632985e-01
1.255410861767643382e+01,3.398745854276456591e+00,8.850123462795479456e-01
1.255306988527807377e+01,3.398981691632503299e+00,8.852130413381903429e-01
1.255203122306247643e+01,3.399218204507867380e+00,8.854135499236562845e-01
1.255099263137482701e+01,3.399455392864791037e+00,8.856138719592464570e-01
1.254995411056027343e+01,3.399693256664955143e+00,8.858140073683336002e-01
1.254891566096408617e+01,3.399931795869590268e+00,8.860139560743981457e-01
1.254787728293166538e+01,3.400171010439447805e+00,8.862137180010265514e-01
1.254683897680850713e+01,3.400410900334826625e+00,8.864132930719049730e-01
1.254580074294009506e+01,3.400651465515478478e+00,8.866126812107971711e-01
1.254476258167214731e+01,3.400892705940741223e+00,8.868118823415949148e-01
1.254372449335025053e+01,3.401134621569344318e+00,8.870108963882389341e-01
1.254268647832042838e+01,3.401377212359743663e+00,8.872097232748555884e-01
1.254164853692841142e+01,3.401620478269727688e+00,8.874083629255464789e-01
1.254061066952032455e+01,3.401864419256692695e+00,8.876068152646240383e-01
1.253957287644222163e+01,3.402109035277546489e+00,8.878050802164204613e-01
1.253853515804032703e+01,3.402354326288716813e+00,8.880031577053995040e-01
1.253749751466090423e+01,3.402600292246145575e+00,8.882010476560903145e-01
1.253645994665043695e+01,3.402846933105347027e+00,8.883987499931621512e-01
1.253542245435528990e+01,3.403094248821219026e+00,8.885962646413234634e-01
1.253438503812217242e+01,3.403342239348382758e+00,8.887935915254190355e-01
1.253334769829774942e+01,3.403590904640838133e+00,8.889907305703772522e-01
1.253231043522881372e+01,3.403840244652175162e+00,8.891876817011901135e-01
1.253127324926224695e+01,3.404090259335490920e+00,8.893844448429625293e-01
1.253023614074512615e+01,3.404340948643420628e+00,8.895810199209197577e-01
1.252919911002453190e+01,3.404592312528101683e+00,8.897774068603394593e-01
1.252816215744766026e+01,3.404844350941243381e+00,8.899736055865783424e-01
1.252712528336190800e+01,3.405097063834076732e+00,8.901696160251282297e-01
1.252608848811469855e+01,3.405350451157330482e+00,8.903654381015593255e-01
1.252505177205353526e+01,3.405604512861286626e+00,8.905610717414750299e-01
1.252401513552613999e+01,3.405859248895747982e+00,8.907565168706615966e-01
1.252297857888026833e+01,3.406114659210083939e+00,8.909517734149160484e-01
1.252194210246382866e+01,3.406370743753159402e+00,8.911468413001698563e-01
1.252090570662478264e+01,3.406627502473366764e+00,8.913417204524048953e-01
1.251986939171127844e+01,3.406884935318661434e+00,8.915364107977232777e-01
1.251883315807158326e+01,3.407143042236549846e+00,8.917309122623037210e-01
1.251779700605400159e+01,3.407401823174043276e+00,8.919252247723815641e-01
1.251676093600706530e+01,3.407661278077675160e+00,8.921193482543453568e-01
1.251572494827930093e+01,3.407921406893542837e+00,8.923132826345865354e-01
1.251468904321952458e+01,3.408182209567312881e+00,8.925070278396554091e-01
1.251365322117649193e+01,3.408443686044117626e+00,8.927005837961248247e-01
1.251261748249915051e+01,3.408705836268655975e+00,8.928939504306835362e-01
1.251158182753671255e+01,3.408968660185211608e+00,8.930871276701400907e-01
1.251054625663829611e+01,3.409232157737575264e+00,8.932801154412981504e-01
1.250951077015326796e+01,3.409496328869065618e+00,8.934729136711141440e-01
