# tau1,tau2,tau3
1.139952336061557325e+01,4.576987326801583045e+00,8.436264346630466537e-01
1.139952336573411351e+01,4.576987330812456456e+00,8.436264342661987659e-01
1.139952337043743213e+01,4.576987334488396897e+00,8.436264338882001335e-01
1.139952337477088129e+01,4.576987337867525873e+00,8.436264335330662112e-01
1.139952337877450006e+01,4.576987340983398767e+00,8.436264332037572977e-01
1.139952338248363795e+01,4.576987343865502211e+00,8.436264329023307473e-01
1.139952338592942382e+01,4.576987346539723944e+00,8.436264326300810801e-01
1.139952338913928465e+01,4.576987349028745378e+00,8.436264323876571103e-01
1.139952339213732202e+01,4.576987351352416411e+00,8.436264321751708595e-01
1.139952339494471367e+01,4.576987353528084945e+00,8.436264319922898158e-01
1.139952339758004918e+01,4.576987355570897087e+00,8.436264318383224214e-01
1.139952340005964970e+01,4.576987357494063602e+00,8.436264317122883494e-01
1.139952340239781847e+01,4.576987359309084624e+00,8.436264316129797880e-01
1.139952340460708946e+01,4.576987361025971701e+00,8.436264315390170632e-01
1.139952340669844943e+01,4.576987362653435198e+00,8.436264314888951565e-01
1.139952340868154224e+01,4.576987364199055719e+00,8.436264314610256720e-01
1.139952341056482155e+01,4.576987365669417329e+00,8.436264314537667008e-01
1.139952341235570366e+01,4.576987367070255885e+00,8.436264314654553509e-01
1.139952341406071135e+01,4.576987368406558510e+00,8.436264314944287301e-01
1.139952341568559291e+01,4.576987369682680828e+00,8.436264315390463731e-01
1.139952341723541629e+01,4.576987370902425134e+00,8.436264315977048955e-01
1.139952341871469699e+01,4.576987372069136306e+00,8.436264316688539822e-01
1.139952342012740161e+01,4.576987373185734675e+00,8.436264317509999389e-01
1.139952342147710240e+01,4.576987374254819940e+00,8.436264318427216802e-01
1.139952342276700570e+01,4.576987375278695147e+00,8.436264319426718394e-01
1.139952342399998741e+01,4.576987376259416429e+00,8.436264320495816538e-01
1.139952342517864992e+01,4.576987377198830309e+00,8.436264321622611861e-01
1.139952342630536997e+01,4.576987378098615444e+00,8.436264322796057646e-01
1.139952342738235203e+01,4.576987378960308384e+00,8.436264324005924298e-01
1.139952342841160338e+01,4.576987379785322219e+00,8.436264325242782691e-01
1.139952342939501229e+01,4.576987380574971453e+00,8.436264326498014166e-01
1.139952343033433912e+01,4.576987381330485327e+00,8.436264327763766113e-01
1.139952343123124123e+01,4.576987382053022912e+00,8.436264329032925335e-01
1.139952343208728536e+01,4.576987382743693544e+00,8.436264330299112491e-01
1.139952343290399916e+01,4.576987383403560372e+00,8.436264331556635465e-01
1.139952343368278953e+01,4.576987384033640360e+00,8.436264332800424981e-01
1.139952343442505267e+01,4.576987384634921163e+00,8.436264334026030154e-01
1.069293202914100682e+01,4.307159208055093558e+00,7.817521481057654320e-01
1.087857972571896426e+01,4.377531809562239751e+00,7.979003996057155712e-01
1.100943224202214132e+01,4.430979713106250273e+00,8.115093484383141265e-01
1.112223734087201166e+01,4.475732128245324404e+00,8.230624263894347203e-01
1.121022189086367327e+01,4.511032433928740204e+00,8.324875078928598571e-01
1.127888065453352162e+01,4.538811950139688633e+00,8.401270262460223126e-01
1.133244739288883451e+01,4.560572313061359573e+00,8.462598296208749815e-01
1.137418337601123142e+01,4.577486506106222208e+00,8.511160353230687869e-01
1.140660981562622212e+01,4.590476630711450845e+00,8.548881874866529618e-01
1.143168413270278272e+01,4.600272925110616917e+00,8.577395245735551788e-01
1.145093357468969764e+01,4.607458521521270001e+00,8.598100991958647077e-01
1.146555647692022362e+01,4.612503364762498670e+00,8.612213078975431424e-01
1.147649899049666899e+01,4.615789901002937512e+00,8.620792491655342449e-01
1.148451321927870872e+01,4.617632524238734604e+00,8.624772225351842181e-01
1.149020127915839140e+01,4.618292294050176494e+00,8.624976018585099879e-01
1.149404870565391867e+01,4.617988076313459089e+00,8.622132554770501889e-01
1.149644980904828628e+01,4.616904982382354916e+00,8.616886405797790083e-01
1.149772694760161862e+01,4.615200771633373833e+00,8.609806649258988642e-01
1.149814521146383761e+01,4.613010721770228528e+00,8.601393836760594658e-01
1.149792364681671408e+01,4.610451349101995611e+00,8.592085802194514565e-01
1.149724387407282400e+01,4.607623268087331248e+00,8.582262659935738780e-01
1.149625674478135906e+01,4.604613408829581367e+00,8.572251241219601692e-01
1.149508752332142159e+01,4.601496757587917763e+00,8.562329142848095209e-01
1.149383995937413161e+01,4.598337744659868775e+00,8.552728508584217515e-01
1.149259952630487547e+01,4.595191373075875774e+00,8.543639624619584483e-01
1.149143603191101803e+01,4.592104158051024676e+00,8.535214382249324272e-01
1.149040575612881732e+01,4.589114929261060460e+00,8.527569640361367664e-01
1.148955323116389593e+01,4.586255534383923305e+00,8.520790505385593683e-01
1.148891275001033563e+01,4.583551471945901845e+00,8.514933535420273758e-01
1.148850966709979993e+01,4.581022473560717678e+00,8.510029867298123385e-01
1.148836153809806504e+01,4.578683049572961572e+00,8.506088259644846161e-01
1.148847913329203863e+01,4.576543007480712077e+00,8.503098041025310971e-01
1.220298368365048169e+01,4.844189674172397098e+00,9.125435236648957726e-01
1.130741961971060405e+01,4.501711162990848614e+00,8.328102209380241483e-01
1.205974223826566494e+01,4.784897249784741291e+00,8.983987067628650403e-01
1.190518130752735715e+01,4.724493318479675352e+00,8.839297418857202659e-01
1.178828854494325995e+01,4.676854868224455508e+00,8.721625895923015293e-01
1.169773523252404246e+01,4.639272217163711964e+00,8.626522394309770192e-01
1.162768767509286683e+01,4.609697086126628207e+00,8.550318105950577285e-01
1.157367192237806641e+01,4.586539152234507810e+00,8.490036907993607773e-01
