# q1,q2,q3
8.468451658131084248e-01,-1.409758663946259816e+00,2.731954245112164920e-02
8.468451685445558264e-01,-1.409758634455377635e+00,2.731957012599890711e-02
8.468451711144110439e-01,-1.409758607118416940e+00,2.731959188620856210e-02
8.468451735322337637e-01,-1.409758581777962760e+00,2.731960844486907430e-02
8.468451758070183466e-01,-1.409758558288118468e+00,2.731962044974353687e-02
8.468451779472269125e-01,-1.409758536513660676e+00,2.731962848786085446e-02
8.468451799608208708e-01,-1.409758516329256528e+00,2.731963308992966383e-02
8.468451818552907850e-01,-1.409758497618739392e+00,2.731963473454069105e-02
8.468451836376841291e-01,-1.409758480274436954e+00,2.731963385215571347e-02
8.468451853146311548e-01,-1.409758464196549266e+00,2.731963082888321653e-02
8.468451868923702053e-01,-1.409758449292572324e+00,2.731962601004250119e-02
8.468451883767703636e-01,-1.409758435476763827e+00,2.731961970351952720e-02
8.468451897733535461e-01,-1.409758422669648015e+00,2.731961218291881904e-02
8.468451910873150412e-01,-1.409758410797557593e+00,2.731960369051684295e-02
8.468451923235427170e-01,-1.409758399792208294e+00,2.731959444002300327e-02
8.468451934866352282e-01,-1.409758389590305416e+00,2.731958461915503025e-02
8.468451945809193360e-01,-1.409758380133178779e+00,2.731957439203598625e-02
8.468451956104656730e-01,-1.409758371366444329e+00,2.731956390142048496e-02
8.468451965791041758e-01,-1.409758363239691059e+00,2.731955327075791945e-02
8.468451974904380730e-01,-1.409758355706190347e+00,2.731954260610065105e-02
8.468451983478575418e-01,-1.409758348722626398e+00,2.731953199786514228e-02
8.468451991545522528e-01,-1.409758342248847773e+00,2.731952152245401347e-02
8.468451999135229169e-01,-1.409758336247635135e+00,2.731951124374689538e-02
8.468452006275929422e-01,-1.409758330684487415e+00,2.731950121446784577e-02
8.468452012994186484e-01,-1.409758325527422862e+00,2.731949147743688647e-02
8.468452019314992585e-01,-1.409758320746795857e+00,2.731948206671305432e-02
8.468452025261860028e-01,-1.409758316315124826e+00,2.731947300863606792e-02
8.468452030856912227e-01,-1.409758312206935482e+00,2.731946432277351788e-02
8.468452036120961424e-01,-1.409758308398613380e+00,2.731945602278014126e-02
8.468452041073589731e-01,-1.409758304868268253e+00,2.731944811717550506e-02
8.468452045733221301e-01,-1.409758301595608110e+00,2.731944061004613553e-02
8.468452050117188934e-01,-1.409758298561822665e+00,2.731943350167777632e-02
8.468452054241801807e-01,-1.409758295749474755e+00,2.731942678912322592e-02
8.468452058122403203e-01,-1.409758293142400420e+00,2.731942046671084756e-02
8.468452061773428241e-01,-1.409758290725615648e+00,2.731941452649861921e-02
8.468452065208459389e-01,-1.409758288485230437e+00,2.731940895867820962e-02
8.468452068440274205e-01,-1.409758286408368644e+00,2.731940375193341042e-02
8.468452071480895293e-01,-1.409758284483094259e+00,2.731939889375684105e-02
8.468452074341633606e-01,-1.409758282698342358e+00,2.731939437072867724e-02
8.468452077033130632e-01,-1.409758281043856254e+00,2.731939016876088269e-02
8.468452079565399471e-01,-1.409758279510127332e+00,2.731938627331014641e-02
8.468452081947859256e-01,-1.409758278088341754e+00,2.731938266956251624e-02
8.468452084189372897e-01,-1.409758276770328500e+00,2.731937934259250425e-02
8.468452086298279280e-01,-1.409758275548513407e+00,2.731937627749922784e-02
8.468452088282422130e-01,-1.409758274415874757e+00,2.731937345952192495e-02
8.468452090149183320e-01,-1.409758273365903758e+00,2.731937087413701531e-02
8.468452091905507295e-01,-1.409758272392566569e+00,2.731936850713872003e-02
8.468452093557927718e-01,-1.409758271490269887e+00,2.731936634470503653e-02
8.468452095112590783e-01,-1.409758270653828527e+00,2.731936437345073784e-02
8.468452096575280752e-01,-1.409758269878435888e+00,2.731936258046895397e-02
8.468452097951437718e-01,-1.409758269159636201e+00,2.731936095336266399e-02
8.468452099246180920e-01,-1.409758268493298772e+00,2.731935948026738975e-02
8.468452100464327614e-01,-1.409758267875594440e+00,2.731935814986624286e-02
8.468452101610408622e-01,-1.409758267302973822e+00,2.731935695139831380e-02
8.468452102688688310e-01,-1.409758266772146218e+00,2.731935587466136420e-02
8.468452103703176803e-01,-1.409758266280061401e+00,2.731935491000964111e-02
8.468452104657647750e-01,-1.409758265823891632e+00,2.731935404834757303e-02
8.468452105555652754e-01,-1.409758265401015676e+00,2.731935328112000683e-02
8.468452106400531365e-01,-1.409758265009003253e+00,2.731935260029958942e-02
8.468452107195427736e-01,-1.409758264645602166e+00,2.731935199837181444e-02
8.468452107943297280e-01,-1.409758264308723863e+00,2.731935146831820579e-02
8.468452108646923326e-01,-1.409758263996432781e+00,2.731935100359806842e-02
8.468452109308922671e-01,-1.409758263706934134e+00,2.731935059812914263e-02
8.468452109931758898e-01,-1.409758263438564585e+00,2.731935024626749864e-02
8.468452110517747933e-01,-1.409758263189782035e+00,2.731934994278693851e-02
8.468452111069070254e-01,-1.409758262959156960e+00,2.731934968285814128e-02
8.468452111587776443e-01,-1.409758262745363977e+00,2.731934946202777340e-02
8.468452112075796068e-01,-1.409758262547174512e+00,2.731934927619771372e-02
8.468452112534944343e-01,-1.409758262363449921e+00,2.731934912160455600e-02
8.468452112966928791e-01,-1.409758262193134382e+00,2.731934899479951384e-02
8.468452113373357015e-01,-1.409758262035249343e+00,2.731934889262880792e-02
8.468452113755741140e-01,-1.409758261888887532e+00,2.731934881221465342e-02
8.468452114115503360e-01,-1.409758261753207842e+00,2.731934875093687889e-02
8.468452114453982604e-01,-1.409758261627430675e+00,2.731934870641525293e-02
8.468452114772436756e-01,-1.409758261510833499e+00,2.731934867649252197e-02
8.468452115072051534e-01,-1.409758261402745960e+00,2.731934865921823580e-02
8.468452115353941601e-01,-1.409758261302547222e+00,2.731934865283332237e-02
8.468452115619155007e-01,-1.409758261209661523e+00,2.731934865575545365e-02
8.468452115868677632e-01,-1.409758261123555068e+00,2.731934866656519564e-02
8.468452116103438732e-01,-1.409758261043732919e+00,2.731934868399293198e-02
8.468452116324312051e-01,-1.409758260969736554e+00,2.731934870690653702e-02
8.468452116532118046e-01,-1.409758260901140758e+00,2.731934873429982258e-02
8.468452116727630541e-01,-1.409758260837551402e+00,2.731934876528169243e-02
8.468452116911576733e-01,-1.409758260778603223e+00,2.731934879906600458e-02
8.468452117084640518e-01,-1.409758260723957379e+00,2.731934883496211358e-02
8.468452117247465827e-01,-1.409758260673299679e+00,2.731934887236608586e-02
8.468452117400658841e-01,-1.409758260626339244e+00,2.731934891075250837e-02
8.468452117544787994e-01,-1.409758260582806288e+00,2.731934894966692173e-02
8.468452117680390634e-01,-1.409758260542450570e+00,2.731934898871881540e-02
8.468452117807970803e-01,-1.409758260505040051e+00,2.731934902757515021e-02
8.468452117928003675e-01,-1.409758260470360014e+00,2.731934906595440832e-02
8.467358258815315120e-01,-1.409758058024396465e+00,2.731871889589795530e-02
8.465457131587438289e-01,-1.409757695673865552e+00,2.731755809003160590e-02
8.462936393964063386e-01,-1.409757232830331164e+00,2.733148470953350104e-02
8.459960069094253354e-01,-1.409757789630290858e+00,2.737529225962735679e-02
8.456652662874671877e-01,-1.409760342154719570e+00,2.746399386594085626e-02
8.453108448755928261e-01,-1.409765623397307710e+00,2.761159578216288227e-02
8.449398577062090521e-01,-1.409774065580782665e+00,2.783027985966569917e-02
8.445576498927591658e-01,-1.409785772535540493e+00,2.812990307530574899e-02
8.441682110654925575e-01,-1.409800515880314187e+00,2.851773973986149527e-02
8.437744926136507839e-01,-1.409817749517242591e+00,2.899840689249039150e-02
8.433786510391159119e-01,-1.409836637684033001e+00,2.957392528339554058e-02
8.429822350667336428e-01,-1.409856092492870916e+00,3.024387790942920790e-02
8.425863298658864409e-01,-1.409874817522719370e+00,3.100563579089523139e-02
8.421916684888940408e-01,-1.409891354614603243e+00,3.185462694036996639e-02
8.417987181748416425e-01,-1.409904131546507733e+00,3.278462956723149357e-02
8.414077473121401862e-01,-1.409911508735479435e+00,3.378807471157350972e-02
8.410188774542689538e-01,-1.409911823530641595e+00,3.485634688676633730e-02
